#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	n3700	0:25:20	2981.84	5.65	807.64	811.35	806.75	4290.36	103.42	4	realigner	1520.8904	4
1		n3700	0:00:00	0.64	0.0	17.44	21.88	14.74	177.52	0.0	4	rule_all	0.0349	4
1	subset_0_1000000	n3700	0:02:39	4869.33	523.14	5669.97	5673.04	5669.3	5894.02	284.41	4	mapping	159.7514	4
1	subset_0_1000000	n3700	0:25:08	2992.57	5.26	805.93	809.46	805.36	4288.47	102.16	5	realigner	1508.1784	2
1		n3700	0:00:00	1.82	0.0	17.44	22.17	14.6	177.51	0.0	5	rule_all	0.0352	2
1	subset_0_1000000	n3700	0:04:27	5450.99	588.56	5416.27	5419.23	5415.98	5622.01	181.25	5	mapping	267.6866	2
1	subset_0_1000000	n3700	0:01:33	0.26	84.24	913.1	919.17	911.75	3354.35	99.85	5	mark_duplicates	93.9662	2
1	subset_0_1000000	n3700	0:00:16	0.02	4.06	401.44	407.66	400.18	3352.32	118.7	5	build_bam	16.9743	4
1	subset_0_1000000	n3700	0:21:44	2892.18	5.5	837.55	840.93	836.65	4288.51	102.9	5	realigner	1304.6111	4
1		n3700	0:00:00	1.53	0.0	17.35	21.74	14.64	177.52	0.0	5	rule_all	0.0352	4
1	subset_0_1000000	n3700	0:01:35	226.53	240.28	1065.8	1071.67	1064.46	3355.37	137.89	5	sort_picard	95.3882	4
1	subset_0_1000000	n3700	0:02:40	4892.62	523.14	5668.29	5671.52	5667.63	5894.02	284.32	5	mapping	160.5538	4
1	subset_0_1000000	n3700	0:01:36	36.59	236.33	1118.71	1124.94	1117.35	3421.59	138.07	5	sort_picard	96.6935	2
1	subset_0_1000000	n3700	0:01:33	0.46	84.38	915.89	922.0	914.59	3354.35	101.79	5	mark_duplicates	93.8074	4
1	subset_0_1000000	n3700	0:00:17	0.14	4.06	403.9	410.31	402.61	3352.32	115.7	5	build_bam	17.1448	2
