#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_30000_40000	avoton	0:00:05	0.0	1.07	118.96	125.57	118.2	3680.38	85.74	1	build_bam	5.8329999999999975	1
1	subset_900000_910000	avoton	0:01:22	5037.41	0.01	5038.28	5042.23	5037.78	5201.61	9.51	1	mapping	82.9283	1
1	subset_800000_810000	avoton	0:18:22	0.0	1.07	1551.33	1554.73	1550.73	6837.35	104.17	1	realigner	1102.8682	1
1	subset_600000_610000	avoton	0:00:05	0.0	1.07	118.15	124.58	117.26	3680.38	86.72	1	build_bam	5.7363	1
1	subset_800000_810000	avoton	0:00:07	0.0	1.15	490.2	496.23	489.33	3682.41	155.65	1	mark_duplicates	7.6603	1
1	subset_600000_610000	avoton	0:00:06	0.0	0.76	192.17	198.59	191.29	3680.38	120.97	1	sort_picard	6.3659	1
1	subset_300000_310000	avoton	0:00:05	0.0	1.07	118.49	124.96	117.6	3680.38	88.93	1	build_bam	5.7570000000000014	1
1	subset_600000_610000	avoton	0:18:40	0.0	1.04	1584.42	1588.05	1583.83	6837.35	102.94	1	realigner	1120.6906	1
1	subset_100000_110000	avoton	0:18:57	0.0	1.08	1573.54	1576.74	1573.02	6837.35	103.99	1	realigner	1137.8324	1
1	subset_100000_110000	avoton	0:00:08	26.19	0.39	188.64	194.84	187.79	3680.38	93.64	1	sort_picard	8.0388	1
1	subset_500000_510000	avoton	0:18:18	0.0	1.7	1571.82	1575.39	1571.2	6973.49	104.88	1	realigner	1098.4303	1
1	subset_100000_110000	avoton	0:00:11	0.0	0.01	5194.29	5197.73	5193.73	5357.68	73.41	1	mapping	11.9234	1
1	subset_400000_410000	avoton	0:17:57	0.0	1.61	1551.64	1555.08	1551.1	6837.35	104.85	1	realigner	1077.0052	1
1		avoton	0:00:00	0.01	0.0	17.62	22.26	14.79	175.21	0.0	1	rule_all	0.0421	1
1	subset_500000_510000	avoton	0:00:05	0.0	1.0	118.41	124.8	117.57	3680.38	86.07	1	build_bam	5.7893	1
1	subset_200000_210000	avoton	0:00:12	0.0	6.63	5194.45	5198.07	5193.88	5357.68	79.41	1	mapping	12.0735	1
1	subset_300000_310000	avoton	0:00:07	0.0	1.37	490.26	496.1	489.41	3682.41	160.43	1	mark_duplicates	7.4928	1
1	subset_200000_210000	avoton	0:00:06	0.0	0.87	194.29	200.91	193.44	3680.38	123.63	1	sort_picard	6.2742	1
1	subset_900000_910000	avoton	0:00:06	0.0	0.98	191.14	197.81	190.27	3680.38	123.67	1	sort_picard	6.223	1
1	subset_500000_510000	avoton	0:00:06	0.0	0.86	187.93	194.02	187.11	3680.38	113.22	1	sort_picard	6.2484	1
1	subset_80000_90000	avoton	0:18:32	0.0	1.05	1539.07	1541.9	1538.47	6837.35	103.69	1	realigner	1112.5018	1
1	subset_700000_710000	avoton	0:00:06	0.0	0.87	185.25	191.95	184.4	3680.38	114.53	1	sort_picard	6.2945	1
1	subset_700000_710000	avoton	0:00:05	0.0	1.0	114.41	120.59	113.53	3680.38	88.03	1	build_bam	5.7135	1
1	subset_400000_410000	avoton	0:00:06	0.0	0.75	191.25	197.66	190.38	3680.38	122.99	1	sort_picard	6.2705	1
1	subset_800000_810000	avoton	0:00:11	0.0	0.01	5192.97	5196.5	5192.41	5357.68	76.89	1	mapping	11.9397	1
1	subset_700000_710000	avoton	0:00:11	0.0	6.63	5193.55	5197.23	5192.99	5421.68	78.41	1	mapping	11.9987	1
1	subset_200000_210000	avoton	0:00:07	0.0	1.36	492.82	498.55	491.96	3682.41	141.14	1	mark_duplicates	7.2613	1
1	subset_600000_610000	avoton	0:00:12	0.0	6.63	5192.38	5196.1	5191.81	5357.68	79.45	1	mapping	12.0566	1
1	subset_600000_610000	avoton	0:00:07	0.0	1.35	489.08	494.84	488.22	3682.41	150.32	1	mark_duplicates	7.2805	1
1	subset_200000_210000	avoton	0:18:48	3072.63	1.2	1558.66	1561.84	1558.09	6973.49	103.6	1	realigner	1128.5032	1
