s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	rule	n_sim	cpu_type	threads	#cpu
7843.6377	2:10:43	4444.82	4467.51	4440.97	4441.38	5923.1	6655.8	99.53	index_bwa	2	n3700	1	1
8073.0939	2:14:33	4445.57	4467.51	4441.02	4441.84	8121.35	6655.8	99.36	index_bwa	3	n3700	1	1
8010.6330000000025	2:13:30	4445.36	4467.51	4441.14	4441.57	7690.54	6655.8	99.42	index_bwa	4	n3700	1	1
7957.5463	2:12:37	4445.51	4467.51	4441.18	4441.76	7579.31	8134.86	99.71	index_bwa	5	n3700	1	1
