	#cpu	Reference subject	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
37	1		37.0	0.0		xeond	0:00:19	0.0	0.04	846.71	852.94	845.54	3683.17	79.86	1	index_picard	19.909	1
38	1	subset_a	38.0	0.0		xeond	0:00:02	0.0	0.04	59.53	65.57	58.34	3673.97	0.0	1	build_bam	2.51	1
39	1		39.0	0.0		xeond	0:01:38	0.86	656.52	2.55	6.83	1.59	43.69	5.03	1	downloadreference	98.1157	1
40	1	subset_b	40.0	0.0		xeond	0:00:02	0.0	0.34	138.21	143.86	137.03	3681.16	66.68	1	sort_picard	2.8361	1
41	1	subset_b	41.0	0.0		xeond	0:00:05	0.0	3.21	5185.13	5188.61	5184.31	5420.97	61.89	1	mapping	5.9557	1
42	1	subset_a	0.0			xeond	0:00:02	0.0	1.1	152.12	158.01	150.97	3681.16	76.58	2	sort_picard	2.6949	1
43	1	subset	0.0			xeond	0:00:03	0.01	0.81	479.91	485.48	478.74	3683.18	118.16	2	mark_duplicates	3.6367	1
44	1		0.0			xeond	0:00:19	0.0	0.04	846.89	852.88	845.75	3683.17	81.78	2	index_picard	19.5903	1
45	1	subset	0.0			xeond	0:00:20	496.8	0.01	5134.59	5133.12	5129.09	5201.88	16.37	2	mapping	20.8474	1
46	1	subset_b	0.0			xeond	0:00:05	0.0	0.01	5186.03	5189.59	5185.21	5420.97	55.69	2	mapping	5.7182	1
47	1	subset_b	0.0			xeond	0:00:03	0.0	0.06	409.94	415.93	408.79	3681.18	67.31	2	mark_duplicates	3.1161	1
48	1		0.0			xeond	0:00:36	0.11	0.01	20.96	27.66	17.66	113.71	37.45	2	index_samtools	36.7348	1
49	1		0.0			xeond	0:00:00	0.41	0.0	17.02	21.68	14.16	169.02	0.0	2	rule_all	0.0166	1
50	1		0.0			xeond	1:07:03	0.07	8134.86	4441.85	4445.31	4441.19	4465.5	96.68	2	index_bwa	4023.2762	1
51	1	subset_b	0.0			xeond	0:00:02	0.0	0.04	47.45	53.3	46.31	3673.97	0.0	2	build_bam	2.5727	1
52	1	subset_a	0.0			xeond	0:10:14	0.15	0.59	1401.89	1411.97	1394.57	6822.28	101.68	2	realigner	614.5574	1
53	1	subset_a	0.0			xeond	0:00:02	0.0	0.04	51.27	56.92	50.14	3673.97	0.0	2	build_bam	2.6045	1
54	1	subset_a	0.0			xeond	0:00:03	0.0	1.14	450.11	455.85	448.93	3683.18	129.9	2	mark_duplicates	3.3627	1
55	1		0.0			xeond	0:01:52	0.25	788.32	2.39	6.67	1.44	43.69	5.44	2	downloadreference	112.7196	1
56	1	subset	0.0			xeond	0:00:02	0.0	1.68	135.94	141.86	134.79	3681.16	64.02	2	build_bam	2.7941	1
57	1	subset	0.0			xeond	0:10:28	1.65	0.73	1405.01	1414.95	1397.71	6822.28	105.32	2	realigner	628.0901	1
58	1		0.0			xeond	0:00:56	0.1	2386.53	1.13	3.55	0.51	15.94	47.06	2	gunzip	56.9285	1
59	1	subset	0.0			xeond	0:00:03	0.94	0.14	176.91	183.07	175.75	3681.16	62.81	2	sort_picard	3.1409	1
60	1	subset_b	0.0			xeond	0:00:02	0.0	0.55	141.03	146.95	139.89	3681.16	69.7	2	sort_picard	2.8003	1
61	1	subset_b	0.0			xeond	0:10:37	0.0	0.61	1417.75	1427.85	1410.41	6822.28	103.03	2	realigner	637.1671	1
62	1	subset_a	0.0			xeond	0:00:06	3.0	0.01	5186.31	5189.97	5185.48	5420.97	55.71	2	mapping	6.5137	1
0	1					xeond	0:00:45	0.09	1396.19	1.12	3.61	0.5	15.94	33.46	3	gunzip	45.852	1
0	1	subset_a				xeond	0:00:02	0.0	0.04	55.24	61.02	54.06	3673.97	0.0	3	build_bam	2.5946	1
0	1	subset_b				xeond	0:00:02	0.0	0.45	139.17	145.05	138.0	3681.16	69.06	3	sort_picard	2.8103	1
0	1	subset				xeond	0:00:15	547.56	6.38	5193.27	5196.45	5192.27	5421.95	46.24	3	mapping	15.758	1
0	1	subset				xeond	0:00:02	0.0	0.04	62.14	67.89	61.02	3673.97	0.0	3	build_bam	2.6636	1
0	1	subset				xeond	0:00:03	0.01	1.05	481.36	487.04	480.17	3683.18	117.76	3	mark_duplicates	3.56	1
