#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_900000_1000000	n3700	0:00:19	0.0	7.33	669.0	675.37	667.64	3354.35	168.52	1	mark_duplicates	19.8557	1
1	subset_800000_900000	n3700	0:00:15	66.19	10.81	565.29	571.5	563.95	3352.33	156.21	1	sort_picard	15.1162	1
1	subset_900000_1000000	n3700	0:00:15	31.2	11.5	566.73	573.1	565.4	3352.33	147.84	1	sort_picard	15.3858	1
1	subset_100000_200000	n3700	0:01:12	3824.09	0.01	5286.98	5290.11	5286.69	5436.3	48.36	1	mapping	72.113	1
1		n3700	0:00:00	5.11	0.0	18.78	22.22	17.25	177.51	0.0	1	rule_all	0.0352	1
1	subset_400000_500000	n3700	0:00:08	0.14	1.62	211.58	217.76	210.29	3352.32	128.19	1	build_bam	8.2767	1
1	subset_800000_900000	n3700	0:01:11	3841.54	0.01	5287.18	5290.54	5286.88	5436.3	49.64	1	mapping	71.9909	1
1	subset_900000_1000000	n3700	0:01:12	3815.62	0.01	5282.77	5285.87	5282.38	5436.3	48.49	1	mapping	72.2904	1
1	subset_900000_1000000	n3700	0:00:08	0.0	1.99	212.74	219.02	211.45	3352.32	129.63	1	build_bam	8.0717	1
1	subset_300000_400000	n3700	0:00:18	0.0	10.18	680.62	686.83	679.27	3354.35	150.79	1	mark_duplicates	18.0886	1
1	subset_400000_500000	n3700	0:01:14	3895.41	0.01	5277.87	5281.08	5277.59	5434.21	44.3	1	mapping	74.4622	1
1	subset_100000_200000	n3700	0:00:17	1.14	10.56	680.18	686.57	678.83	3354.35	147.07	1	mark_duplicates	17.9534	1
1	subset_400000_500000	n3700	0:20:50	0.0	2.68	815.84	819.8	815.31	4291.01	104.46	1	realigner	1250.5609	1
1	subset_500000_600000	n3700	0:00:08	0.0	2.07	214.13	220.35	212.84	3352.32	130.93	1	build_bam	8.2936	1
1	subset_700000_800000	n3700	0:21:01	0.0	2.34	808.87	812.39	808.3	4291.01	103.48	1	realigner	1261.025	1
1	subset_900000_1000000	n3700	0:21:18	0.0	2.29	822.86	826.57	822.39	4291.01	101.71	1	realigner	1278.3792	1
1	subset_800000_900000	n3700	0:00:07	0.0	2.38	218.9	224.91	217.61	3352.32	132.23	1	build_bam	7.9474	1
1	subset_500000_600000	n3700	0:00:14	66.18	10.65	569.54	575.84	568.22	3353.95	148.79	1	sort_picard	14.5025	1
1	subset_200000_300000	n3700	0:00:18	0.0	8.66	673.19	679.69	671.88	3354.35	164.87	1	mark_duplicates	18.8912	1
1	subset_200000_300000	n3700	0:01:12	5205.14	0.01	5286.24	5289.32	5286.0	5436.3	48.03	1	mapping	72.3237	1
1	subset_600000_700000	n3700	0:00:08	0.0	1.99	221.96	227.95	220.68	3352.32	120.54	1	build_bam	8.156	1
1	subset_100000_200000	n3700	0:00:14	66.16	12.33	560.37	566.66	559.02	3352.33	153.76	1	sort_picard	14.5991	1
1	subset_400000_500000	n3700	0:00:18	0.0	9.73	686.71	693.18	685.45	3354.35	148.07	1	mark_duplicates	18.3666	1
1	subset_100000_200000	n3700	0:00:08	0.0	2.16	214.39	220.56	213.11	3352.32	131.74	1	build_bam	8.1341	1
1	subset_700000_800000	n3700	0:00:14	66.18	11.02	572.04	578.15	570.7	3353.94	153.54	1	sort_picard	14.9782	1
1	subset_700000_800000	n3700	0:01:12	3827.39	0.01	5286.12	5289.06	5285.82	5436.3	48.65	1	mapping	72.0972	1
1	subset_500000_600000	n3700	0:00:17	0.0	10.6	676.92	683.24	675.56	3354.35	137.54	1	mark_duplicates	17.8116	1
1	subset_500000_600000	n3700	0:20:51	0.0	2.49	814.21	817.83	813.76	4290.91	104.07	1	realigner	1251.6097	1
1	subset_300000_400000	n3700	0:00:14	66.18	12.49	567.96	574.49	566.61	3352.33	150.39	1	sort_picard	14.5621	1
1	subset_700000_800000	n3700	0:00:08	0.0	1.98	214.61	221.17	213.36	3352.32	119.25	1	build_bam	8.1237	1
1	subset_200000_300000	n3700	0:00:07	0.0	2.42	218.85	225.29	217.66	3352.32	132.16	1	build_bam	7.934	1
1	subset_100000_200000	n3700	0:20:54	3066.04	2.36	812.25	815.93	811.79	4290.91	103.58	1	realigner	1254.2367	1
1	subset_800000_900000	n3700	0:19:53	0.0	2.26	825.03	828.37	824.45	4290.91	104.56	1	realigner	1193.5225	1
1	subset_500000_600000	n3700	0:01:12	3944.18	0.01	5281.94	5285.23	5281.58	5436.3	48.31	1	mapping	72.4991	1
1	subset_200000_300000	n3700	0:00:14	66.18	11.87	561.57	567.76	560.26	3352.33	152.34	1	sort_picard	14.7304	1
1	subset_300000_400000	n3700	0:00:08	0.0	2.07	218.61	224.42	217.35	3352.32	127.89	1	build_bam	8.0613	1
1	subset_800000_900000	n3700	0:00:18	0.0	10.16	682.02	688.36	680.66	3354.35	151.92	1	mark_duplicates	18.119	1
1	subset_600000_700000	n3700	0:22:36	0.0	2.88	835.54	838.53	834.97	4290.91	102.69	1	realigner	1356.9013	1
