#cpu	Reference subject	cpu_type	h:m:s	io_in	io_out	max_pss	max_rss	max_uss	max_vms	mean_load	n_sim	rule	s	threads
1	subset_0_1000000	xeond	0:00:08	0.0	4.31	409.14	414.69	407.79	3681.24	107.89	2	build_bam	8.0274	32
1	subset_0_1000000	xeond	0:11:35	1135.92	4.72	1437.99	1441.41	1437.51	6816.73	102.58	2	realigner	695.8705	32
1	subset_0_1000000	xeond	0:00:46	0.2	119.09	930.44	935.39	929.06	3683.26	136.06	2	mark_duplicates	46.1618	32
1		xeond	0:00:00	0.0	0.0	17.22	21.74	14.38	169.02	0.0	2	rule_all	0.0222	2
1	subset_0_1000000	xeond	0:00:45	0.0	9.82	930.94	936.29	929.73	3683.26	69.52	2	mark_duplicates	45.6891	16
1	subset_0_1000000	xeond	0:02:09	0.0	523.14	5416.55	5419.63	5415.77	5619.99	160.85	2	mapping	129.2008	2
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	432.24	438.07	431.04	3681.24	112.87	2	build_bam	8.2394	2
1	subset_0_1000000	xeond	0:11:08	582.87	4.68	1520.96	1524.55	1520.07	6816.73	102.96	2	realigner	668.0179	16
1	subset_0_1000000	xeond	0:00:45	0.0	12.25	929.25	934.79	927.96	3683.26	70.17	2	mark_duplicates	45.3562	8
1	subset_0_1000000	xeond	0:00:52	0.03	267.81	1093.35	1098.17	1092.11	3684.28	199.79	2	sort_picard	52.9524	16
1	subset_0_1000000	xeond	0:01:18	557.77	0.01	6222.27	6223.17	6221.49	7020.59	205.32	2	mapping	78.5798	16
1	subset_0_1000000	xeond	0:00:53	0.89	265.36	1086.6	1091.53	1085.3	3684.28	199.21	2	sort_picard	53.4369	8
1	subset_0_1000000	xeond	0:00:45	0.0	11.64	920.17	925.97	918.9	3683.26	71.4	2	mark_duplicates	45.5644	2
1	subset_0_1000000	xeond	0:10:42	0.0	4.66	1452.28	1455.91	1451.4	6818.36	103.23	2	realigner	642.3168	2
1	subset_0_1000000	xeond	0:00:53	0.0	265.12	1096.59	1101.42	1095.31	3684.28	199.24	2	sort_picard	53.7357	2
1	subset_0_1000000	xeond	0:00:49	0.04	0.01	5970.96	5973.29	5970.17	6420.25	177.82	2	mapping	49.1404	8
1	subset_0_1000000	xeond	0:00:54	3.95	259.18	1098.36	1103.43	1096.98	3684.28	190.56	2	sort_picard	54.4728	32
1		xeond	0:00:00	0.01	0.0	17.22	21.81	14.33	169.01	0.0	2	rule_all	0.0253	16
1	subset_0_1000000	xeond	0:00:53	3.84	268.39	1098.3	1102.89	1097.08	3684.28	197.45	3	sort_picard	53.8372	16
1		xeond	0:00:00	0.44	0.0	17.06	21.64	14.18	169.01	0.0	3	rule_all	0.0154	16
1		xeond	0:00:00	0.0	0.0	17.2	21.72	14.41	169.02	0.0	3	rule_all	0.0224	4
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	410.54	416.14	409.3	3681.24	89.75	3	build_bam	8.2595	16
1	subset_0_1000000	xeond	0:00:08	0.0	4.06	427.34	433.4	426.06	3681.24	127.28	3	build_bam	8.2308	32
1	subset_0_1000000	xeond	0:00:49	42.42	0.01	5950.65	5953.02	5949.92	6420.25	163.93	3	mapping	49.8184	8
1	subset_0_1000000	xeond	0:11:28	0.0	4.73	1400.96	1404.09	1400.12	6816.73	105.69	3	realigner	688.5652	2
1	subset_0_1000000	xeond	0:11:54	0.0	4.73	1494.5	1498.12	1493.68	6816.73	105.36	3	realigner	714.3342	4
1	subset_0_1000000	xeond	0:11:58	0.0	4.73	1478.48	1482.21	1477.71	6816.73	106.43	3	realigner	718.187	8
